line_code,low_threshold,high_threshold
SITE-CZ-01-L01,-0.0012622219289971444,0.0012293364132101592
SITE-CZ-01-L02,-0.0018023579348878415,0.004861793482470589
SITE-CZ-01-L03,-0.0012306378815826278,0.0010844052260797208
SITE-CZ-01-L04,-0.0011421101632651282,0.0011900595019117162
SITE-CZ-01-L05,-0.004514802179927425,0.002552494841191798
SITE-DE-01-L01,-0.001828050038380741,0.0017198695050064364
SITE-DE-01-L02,-0.0028913581761171292,0.0014111668693347246
SITE-DE-01-L03,-0.0014753675095265234,0.001587568676567033
SITE-DE-01-L04,-0.001803254524395467,0.0011127355996432653
SITE-DE-01-L05,-0.0027659622902298526,0.002724629512006152
SITE-ES-01-L01,-0.0010853645038495442,0.002273223411471237
SITE-ES-01-L02,-0.0022389679573717462,0.0020001807684439815
SITE-ES-01-L03,-0.0034847460584978623,0.0019013498247827478
SITE-ES-01-L04,-0.002675675142634684,0.0015128944571790952
SITE-ES-01-L05,-0.0026450959475271376,0.0019189226536798398
SITE-FR-01-L01,-0.0010761555838600886,0.0016412101032822484
SITE-FR-01-L02,-0.0015046450459263424,0.0023112060410933996
SITE-FR-01-L03,-0.00228061213699191,0.0019573914785676163
SITE-FR-01-L04,-0.002950070181880848,0.0008940401593920127
SITE-FR-01-L05,-0.0025991282835356195,0.0032264043920189377
SITE-NL-01-L01,-0.0015289704224607425,0.0012633176893536698
SITE-NL-01-L02,-0.0020194257263775653,0.0019032026735837366
SITE-NL-01-L03,-0.001779974346977636,0.0013794577919370395
SITE-NL-01-L04,-0.0012019009218928924,0.0012626902591702622
SITE-NL-01-L05,-0.001576156434397349,0.002033591624290508
SITE-PL-01-L01,-0.0016790508153847479,0.002010996873761808
SITE-PL-01-L02,-0.002504700263609564,0.009074450214734716
SITE-PL-01-L03,-0.003029218980707847,0.004150678009784037
SITE-PL-01-L04,-0.0017564567981821777,0.0012623405525914013
SITE-PL-01-L05,-0.001553793916659871,0.002486222334343595
