site_code,product_code,eligible_line_count,data_class
SITE-CZ-01,BEV-CSD-CITRUS,3,SYNTHETIC_MAPPING
SITE-CZ-01,BEV-CSD-COLA,3,SYNTHETIC_MAPPING
SITE-CZ-01,BEV-JUI-ORANGE,1,SYNTHETIC_MAPPING
SITE-CZ-01,BEV-WAT-SPARK,2,SYNTHETIC_MAPPING
SITE-CZ-01,BEV-WAT-STILL,1,SYNTHETIC_MAPPING
SITE-DE-01,BEV-CSD-CITRUS,3,SYNTHETIC_MAPPING
SITE-DE-01,BEV-CSD-COLA,3,SYNTHETIC_MAPPING
SITE-DE-01,BEV-ENE-CLASSIC,1,SYNTHETIC_MAPPING
SITE-DE-01,BEV-WAT-SPARK,2,SYNTHETIC_MAPPING
SITE-DE-01,BEV-WAT-STILL,1,SYNTHETIC_MAPPING
SITE-ES-01,BEV-CSD-CITRUS,3,SYNTHETIC_MAPPING
SITE-ES-01,BEV-CSD-COLA,3,SYNTHETIC_MAPPING
SITE-ES-01,BEV-ENE-CLASSIC,1,SYNTHETIC_MAPPING
SITE-ES-01,BEV-WAT-SPARK,2,SYNTHETIC_MAPPING
SITE-ES-01,BEV-WAT-STILL,1,SYNTHETIC_MAPPING
SITE-FR-01,BEV-CSD-CITRUS,3,SYNTHETIC_MAPPING
SITE-FR-01,BEV-CSD-COLA,3,SYNTHETIC_MAPPING
SITE-FR-01,BEV-JUI-ORANGE,1,SYNTHETIC_MAPPING
SITE-FR-01,BEV-WAT-SPARK,2,SYNTHETIC_MAPPING
SITE-FR-01,BEV-WAT-STILL,1,SYNTHETIC_MAPPING
SITE-NL-01,BEV-CSD-CITRUS,3,SYNTHETIC_MAPPING
SITE-NL-01,BEV-CSD-COLA,3,SYNTHETIC_MAPPING
SITE-NL-01,BEV-JUI-ORANGE,1,SYNTHETIC_MAPPING
SITE-NL-01,BEV-WAT-SPARK,2,SYNTHETIC_MAPPING
SITE-NL-01,BEV-WAT-STILL,1,SYNTHETIC_MAPPING
SITE-PL-01,BEV-CSD-CITRUS,3,SYNTHETIC_MAPPING
SITE-PL-01,BEV-CSD-COLA,3,SYNTHETIC_MAPPING
SITE-PL-01,BEV-ENE-CLASSIC,1,SYNTHETIC_MAPPING
SITE-PL-01,BEV-WAT-SPARK,2,SYNTHETIC_MAPPING
SITE-PL-01,BEV-WAT-STILL,1,SYNTHETIC_MAPPING
